COMERCIO,COMENTÁRIO,DATA,AVALIACAO,SETOR,TextBlob,Unnamed: 6,texto_traduzido
Nova Opção de Bilhar,"Ambiente agradável, arejado e ventilado, atendimento ok. Mesas razoavelmente boas, com algumas descaidas. Comi o palito de queijo que quando fritou, abriu e saiu quase todo queijo e estava completamente enxarcado de gordura, achei muito caro pelo que foi entregue!",27/062023,4,Leste universitário,,,"Nice, airy and ventilated environment, service ok. Reasonably good tables, with some discourages. I ate the cheese toothpick that when fried, opened and came out almost all cheese and was completely rinse with fat, I found it very expensive for what was delivered!"
Nova Opção de Bilhar,O atendimento e ruim o dono e homofobico racista e mal educado,2019-06-24 00:00:00,1,Leste universitário,,,The service is bad the owner and racist and rude homofobic
Nova Opção de Bilhar,"Lugar agradável, ambiente bom para encontrar com amigos, cerveja gelada e espetinho gostoso, preço acessível. Atendimento bom!!!",2023-04-05 00:00:00,3,Leste universitário,,,"Nice place, good environment to meet friends, cold beer and tasty skewers, affordable price. Good service !!!"
Nova Opção de Bilhar,"Melhor lugar do mundo! Mais conhecido por mim e pelos meus amigos como Bar da reflexão kkk local onde vc sempre pode colocar o papo em dia com a galera com excelente atendimento, cerveja gelada e em conta com uma comida maravilhosa",2023-01-15 00:00:00,5,Leste universitário,,,"Best place in the world! Better known for me and my friends as a reflection bar kkk local where you can always get the chat with the crowd with excellent service, cold beer and account with wonderful food"
Nova Opção de Bilhar,Amei pagar 13$ na Antártica Litrão. Ficou até mais gostosa rsr,2023-06-26 00:00:00,5,Leste universitário,,,I loved to pay 13 $ in Antarctica Litrão. It was even hotter lol
Nova Opção de Bilhar,"Para quem quer um lugar com preços mais em conta, reunir com a galera pra tomar uma e jogar sinuca é excelente. Mas não espere um atendimento diferenciado, pelo menos na minha experiência nesse quesito foi bem de ok pra ruim.",2022-12-15 00:00:00,4,Leste universitário,,,"For those who want a place with more affordable prices, meeting with the crowd to take one and play pool is excellent. But do not expect a different service, at least in my experience in this regard it was well ok to bad."
Nova Opção de Bilhar,"Muito bom é um lugar agradável com preço acessível e com o atendimento bom, é bom para ir com amigos ou de casalzinho ou não sei talvez quem deve rolê uma paquera",2021-07-28 00:00:00,5,Leste universitário,,,"Very good is a pleasant place with affordable price and with good service, it is good to go with friends or a little couple or I don't know maybe who should go a flirt"
Nova Opção de Bilhar,"O atendimento nesse estabelecimento é por cara. Se gostar da cara da pessoa é bem atendido se não gostar é descartável. Não efeito indiferença, garçom tem que atender gostando ou não do cliente , não existe isso de gostar ou não do cliente . Vc tá sendo pago para atender . Se pudesse escolher na vrdd nem trabalharia … pessoas são mesmo difíceis de atender , mas não se faz seleção . Não concordo com isso! Falha do dono que não percebe esse erro feio de garçons ! Trabalho com pessoas é mesmo não gostando eu atendo! Zero na nota de atendimento e zero na organização de clientes para jogar bilhar ! 😉",2022-11-14 00:00:00,1,Leste universitário,,,"The service in this establishment is by face. If you like the person's face is well attended if you don't like it is disposable. No indifference effect, waiter has to serve whether whether or not to like the customer, there is no such thing as to like the customer. You are being paid to answer. If I could choose from VRDD I wouldn't even work… People are really hard to attend, but there is no selection. I don't agree with that! Fault of the owner who does not realize this ugly error of waiters! Working with people is not really enjoying me! Zero in the service note and zero in the organization of customers to play pool! 😉"
Nova Opção de Bilhar,"Bom pra beber uns litrão e ensinar os amigo pato a jogar sinuca! Kkk jogar não, dar aula.",2023-02-04 00:00:00,5,Leste universitário,,,"Good to drink some liter and teach the friend Pato how to play pool! Kkk play no, teach."
Nova Opção de Bilhar,Melhores mesas do universitário!,2023-05-05 00:00:00,5,Leste universitário,,,Best university tables!
