"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","title","totalScore","url"
"R. Bélgica - Jardim Europa, Goiânia - GO, 74330-110, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7160796","-49.3114277","R. Bélgica","ChIJiUrEAu_2XpMRvmuleV38esU",,"1","110","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","R. Bélgica","BIG BAR","4.6","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJiUrEAu_2XpMRvmuleV38esU"
"Av. C-106, 462 - Jardim América, Goiânia - GO, 74255-050, Brasil","Bar","Bar e Grill","Casa de dança","Salão de dança","Espaço para dança","Casa noturna","Bares","Bar de salsa","Petiscaria","Bar","Goiânia","BR","false","-16.7120556","-49.2887259","Av. C-106, 462","ChIJYSTfztP2XpMRS3lJtqtbUhA","74255-050","2","2027","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","Av. C-106, 462","Bar do Gauchinho","4.1","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJYSTfztP2XpMRS3lJtqtbUhA"
"Avenida Domiciano Peixoto, Quadra 14, Lote 15, 1111 - Jardim Vila Boa, Goiânia - GO, 74363-020, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7257676","-49.3185071","Avenida Domiciano Peixoto, Quadra 14, Lote 15, 1111","ChIJO8Gb7hz3XpMRCNtaUOO8L7U",,"3","165","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","Avenida Domiciano Peixoto, Quadra 14, Lote 15, 1111","Bar do Chiquim","4.5","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJO8Gb7hz3XpMRCNtaUOO8L7U"
"Av. C-107 - Jardim América, Goiânia - GO, 74255-060, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7238945","-49.2926306","Av. C-107","ChIJgVKIPAf3XpMR2fIXCnjkuGM","74255-060","4","25","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","Av. C-107","Bar do Alan","4.4","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJgVKIPAf3XpMR2fIXCnjkuGM"
"R. C-183, 66-146 - Jardim América, Goiânia - GO, 74275-210, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7200884","-49.277594","R. C-183, 66-146","ChIJQRlq9NbwXpMRs3nRETHvQbM","74275-210","5","74","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","R. C-183, 66-146","América Bar","4.8","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJQRlq9NbwXpMRs3nRETHvQbM"
"R. C-165, 476 - Jardim América, Goiânia - GO, 74275-160, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7163907","-49.278813","R. C-165, 476","ChIJpaGx8ynxXpMRIrBG26rrsz0","74275-160","6","191","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","R. C-165, 476","Bar do Generoso","4.8","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJpaGx8ynxXpMRIrBG26rrsz0"
"R. Suécia, 366-400 - Jardim Europa, Goiânia - GO, 74330-130, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.712677","-49.30931","R. Suécia, 366-400","ChIJVwR6LOn2XpMRYNxMJc_lFFE","74330-130","7","25","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","R. Suécia, 366-400","Bar do Silau","4.5","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJVwR6LOn2XpMRYNxMJc_lFFE"
"R. Maceió - Parque Amazonia, Goiânia - GO, 74843-140, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7319261","-49.2867192","R. Maceió","ChIJi_CEqTP3XpMRsvdg1p50whs","74843-140","8","382","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","R. Maceió","Bacabas Bar e Restaurante","4.4","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJi_CEqTP3XpMRsvdg1p50whs"
"Av. T-9, 3975 - Jardim Planalto, Goiânia - GO, 74333-010, Brasil","Bar de cervejas","Pub irlandês","Bar com música ao vivo","Bares",,,,,,"Bar de cervejas","Goiânia","BR","false","-16.7107344","-49.2973823","Av. T-9, 3975","ChIJvy3I-sT2XpMRQSi_mEaMK0k","74333-010","9","1526","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","Av. T-9, 3975","Belga Pub","4.7","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJvy3I-sT2XpMRQSi_mEaMK0k"
"R. C-149, 1914 - Q 439 - Jardim América, Goiânia - GO, 74275-080, Brasil","Bar",,,,,,,,,"Bar","Goiânia","BR","false","-16.7206905","-49.2818647","R. C-149, 1914 - Q 439","ChIJMQ7SL4HzXpMRigpIOBgrF8k","74275-080","10","24","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","https://www.google.com/maps/search/bares/@-16.725238886630713,-49.29691454326245,15z?hl=pt-BR","bares","Goiás","R. C-149, 1914 - Q 439","Ponto G Bar e Petiscaria","4.5","https://www.google.com/maps/search/?api=1&query=bares&query_place_id=ChIJMQ7SL4HzXpMRigpIOBgrF8k"
