COMERCIO,COMENTÁRIO,DATA,AVALIACAO,SETOR,TextBlob,Unnamed: 6
Nova Opção de Bilhar,"Ambiente agradável, arejado e ventilado, atendimento ok. Mesas razoavelmente boas, com algumas descaidas. Comi o palito de queijo que quando fritou, abriu e saiu quase todo queijo e estava completamente enxarcado de gordura, achei muito caro pelo que foi entregue!",27/062023,4,Leste universitário,,
Nova Opção de Bilhar,O atendimento e ruim o dono e homofobico racista e mal educado,2019-06-24 00:00:00,1,Leste universitário,,
Nova Opção de Bilhar,"Lugar agradável, ambiente bom para encontrar com amigos, cerveja gelada e espetinho gostoso, preço acessível. Atendimento bom!!!",2023-04-05 00:00:00,3,Leste universitário,,
Nova Opção de Bilhar,"Melhor lugar do mundo! Mais conhecido por mim e pelos meus amigos como Bar da reflexão kkk local onde vc sempre pode colocar o papo em dia com a galera com excelente atendimento, cerveja gelada e em conta com uma comida maravilhosa",2023-01-15 00:00:00,5,Leste universitário,,
Nova Opção de Bilhar,Amei pagar 13$ na Antártica Litrão. Ficou até mais gostosa rsr,2023-06-26 00:00:00,5,Leste universitário,,
Nova Opção de Bilhar,"Para quem quer um lugar com preços mais em conta, reunir com a galera pra tomar uma e jogar sinuca é excelente. Mas não espere um atendimento diferenciado, pelo menos na minha experiência nesse quesito foi bem de ok pra ruim.",2022-12-15 00:00:00,4,Leste universitário,,
Nova Opção de Bilhar,"Muito bom é um lugar agradável com preço acessível e com o atendimento bom, é bom para ir com amigos ou de casalzinho ou não sei talvez quem deve rolê uma paquera",2021-07-28 00:00:00,5,Leste universitário,,
Nova Opção de Bilhar,"O atendimento nesse estabelecimento é por cara. Se gostar da cara da pessoa é bem atendido se não gostar é descartável. Não efeito indiferença, garçom tem que atender gostando ou não do cliente , não existe isso de gostar ou não do cliente . Vc tá sendo pago para atender . Se pudesse escolher na vrdd nem trabalharia … pessoas são mesmo difíceis de atender , mas não se faz seleção . Não concordo com isso! Falha do dono que não percebe esse erro feio de garçons ! Trabalho com pessoas é mesmo não gostando eu atendo! Zero na nota de atendimento e zero na organização de clientes para jogar bilhar ! 😉",2022-11-14 00:00:00,1,Leste universitário,,
Nova Opção de Bilhar,"Bom pra beber uns litrão e ensinar os amigo pato a jogar sinuca! Kkk jogar não, dar aula.",2023-02-04 00:00:00,5,Leste universitário,,
Nova Opção de Bilhar,Melhores mesas do universitário!,2023-05-05 00:00:00,5,Leste universitário,,
Nova Opção de Bilhar,Melhor local do universitário. Preço justo. Comidinhas gostosas. Atendimento tranquilo.Local com diversidade de público. Ponto que chama muita atenção,2023-02-24 00:00:00,5,Leste universitário,,
Nova Opção de Bilhar,"Litrão super gelado e espaço bacana. Mas já passei situações de preconceito de clientes que se acham no direito de se intrometer na vida particular de pessoas LGBT, bastante desagradável. Fora isso recomendo o bar! 4 estrelas!",2022-12-17 00:00:00,4,Leste universitário,,
Nova Opção de Bilhar,Melhor lugar pra brincar de sinuca tomando uma coca cola gelada,2 meses atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Fecha cedo, poucas opções de bebida, poucas opções de comida atendimento razoável...",2 meses atrás,3,Leste universitário,,
Nova Opção de Bilhar,Ótima jantinha e cerveja super gelada.,um mês atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Amo o lugar, tô sempre. Os funcionários são tudo gente boa  (Rose, Alan, Francisco e Caio) lugar top, cerveja gelada e comida gostosa 🍻 …",9 meses atrás,5,Leste universitário,,
Nova Opção de Bilhar,Jantinha deliciosa! Espetinhos honestos. Cerveja gelada!,4 meses atrás,4,Leste universitário,,
Nova Opção de Bilhar,"Barzinho ótimo, preços acessíveis, cerveja bem gelada, comida saborosa, cardápio relativamente amplo; funcionários alegres, bem educados, prestativos, servem rápido.",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"As mesas de sinuca são boas, mas o ambiente ainda não é refrigerado, deixa a desejar na higienização, a jantinha que pedi demorou 1 hora para ser servida, enfim, tem que melhorar um pouco mais",um ano atrás,2,Leste universitário,,
Nova Opção de Bilhar,Lugar muito bom pra tomar aquela cerveja gelada. E jogar uma sinuca ( bilhar ) da melhor forma possível mesa bem alinhada muito bom pra fazer jogadas e tabelas incríveis,um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Amo o lugar, excelentes funcionários… Quero parabenizar o garçom Luciano, nota 10000 🙃 ",7 meses atrás,4,Leste universitário,,
Nova Opção de Bilhar,Atendimento mais ou menos e ainda quer 10%,um mês atrás,3,Leste universitário,,
Nova Opção de Bilhar,"Local ideal para tomar aquele litrão em conta e encontrar os amigos! Ambiente agradável e de fácil acesso. Tem sinuca, jantinhas e porções. Os banheiros geralmente são limpos.",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"É um boteco clássico como tantos outros de Goiânia. O maior diferencial, além do bom atendimento, está na excelente trilha sonora, que vai para o lado do pop e do rock, em vez do tradicional sertanejo que domina a maioria dos lugares.",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Ótimo bar para quem procura bebidas super gelada. Jantinha de qualidade,  espetinho delicioso! Valores acessíveis!",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Bar é legal pra beber uma cerveja gelada o preço também é atrativo para o litrão, tem bons garçons, e a jantinha não provei mas minha namorada gostou, o ponto negativo são os banheiros, pelo tamanho do bar deveria ter pelo menos uns 3 a 4 mictórios ou vazos sanitários. Tem apenas um vazo sanitário e a higiene do banheiro é horrível.",3 anos atrás,3,Leste universitário,,
Nova Opção de Bilhar,"Já foi um dos lugares que mais frequentava semanalmente. Desde que mudaram os garçons,  pedidos não são anotados, valores são contabilizados errados, demoras desproporcionais por conta de desorganização, garçons literalmente ignorando pessoas nas mesas, além  doda cobranças 10% (que é recente e opcional para o cliente). Infelizmente evito ir porque ocorrem situações de estresse e não é meu objetivo quando pretendo sair. Entendo que por padrão não é o lugar para se ter o melhor atendimento da cidade, porém está inviável ter problemas todas as últimas vezes no último mês.",4 anos atrás,2,Leste universitário,,
Nova Opção de Bilhar,"Perfeito lugar, minha segunda casa. Cerveja de garrafa e uma cinuca de primeira. Recomendo sempre. Garçons super educados!",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Já visitei algumas vezes, joguei muita sinuca com amigos e amigas nesse lugar. A jantinha é até que boa. Preço bom no litrão. Porém, recentemente descobri que o dono foi homofóbico com alguns clientes. Na sociedade de hoje isso é inadmissível, claramente não será mais uma opção de bilhar.",3 ano atrás,1,Leste universitário,,
Nova Opção de Bilhar,"Típico bar de estudante. Mesas de sinuca, espetinho e cerveja. Lugar descontraído.",7 meses atrás,4,Leste universitário,,
Nova Opção de Bilhar,Local ótimo!!!! Atendimento maravilhoso!,um mês atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Achei o lugar bem abafado, mas fora isso muito bom",2 anos atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Muito bom, lugar tranquilo e música agradável(não é alta), vale a pena.",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"O lugar é bem legal, amplo com muitas mesas de sinuca e a cerveja gelada e espetinhos gostosos. Só o que tenho a reclamar é sobre o pessoal do bar não ter feito nada em relação a um cara que nos incomodou na mesa, um estranho chegou e sentou na nossa mesa reclamamos mas os garçons não fizeram nada então só mudamos de mesa.",5 anos atrás,4,Leste universitário,,
Nova Opção de Bilhar,"Lugar é muito bom, precisa melhor a parte da sinuca é muito quente, mesmo após ligar o ventilador gigante fica abafado ameniza bastante, mas ainda abafado. Mas a cerveja é bem gelada.",4 anos atrás,3,Leste universitário,,
Nova Opção de Bilhar,Muito bom o lugar adoro ir lá.,Muito bom o lugar adoro ir lá.,5,Leste universitário,,
