,0,1,2,3,4,5
0,"{'label': 'sadness', 'score': 0.041813675314188004}","{'label': 'joy', 'score': 0.15193653106689453}","{'label': 'love', 'score': 0.010419640690088272}","{'label': 'anger', 'score': 0.6996089816093445}","{'label': 'fear', 'score': 0.08938799798488617}","{'label': 'surprise', 'score': 0.006833190564066172}"
1,"{'label': 'sadness', 'score': 0.025466790422797203}","{'label': 'joy', 'score': 0.7262011766433716}","{'label': 'love', 'score': 0.03687276691198349}","{'label': 'anger', 'score': 0.14801838994026184}","{'label': 'fear', 'score': 0.047575145959854126}","{'label': 'surprise', 'score': 0.015865804627537727}"
2,"{'label': 'sadness', 'score': 0.06634560972452164}","{'label': 'joy', 'score': 0.08952709287405014}","{'label': 'love', 'score': 0.014318111352622509}","{'label': 'anger', 'score': 0.6782335042953491}","{'label': 'fear', 'score': 0.1428692638874054}","{'label': 'surprise', 'score': 0.008706439286470413}"
3,"{'label': 'sadness', 'score': 0.07768283039331436}","{'label': 'joy', 'score': 0.07957455515861511}","{'label': 'love', 'score': 0.011346487328410149}","{'label': 'anger', 'score': 0.6436164379119873}","{'label': 'fear', 'score': 0.17540107667446136}","{'label': 'surprise', 'score': 0.012378647923469543}"
4,"{'label': 'sadness', 'score': 0.019050953909754753}","{'label': 'joy', 'score': 0.1149647980928421}","{'label': 'love', 'score': 0.008972599171102047}","{'label': 'anger', 'score': 0.8276362419128418}","{'label': 'fear', 'score': 0.025846298784017563}","{'label': 'surprise', 'score': 0.00352914328686893}"
5,"{'label': 'sadness', 'score': 0.041661012917757034}","{'label': 'joy', 'score': 0.12767426669597626}","{'label': 'love', 'score': 0.008834423497319221}","{'label': 'anger', 'score': 0.7719621062278748}","{'label': 'fear', 'score': 0.04418644681572914}","{'label': 'surprise', 'score': 0.005681677721440792}"
6,"{'label': 'sadness', 'score': 0.010434336960315704}","{'label': 'joy', 'score': 0.12126752734184265}","{'label': 'love', 'score': 0.013046449050307274}","{'label': 'anger', 'score': 0.8386945724487305}","{'label': 'fear', 'score': 0.01371687464416027}","{'label': 'surprise', 'score': 0.0028402761090546846}"
7,"{'label': 'sadness', 'score': 0.011517176404595375}","{'label': 'joy', 'score': 0.24360986053943634}","{'label': 'love', 'score': 0.028953978791832924}","{'label': 'anger', 'score': 0.6964049339294434}","{'label': 'fear', 'score': 0.015447404235601425}","{'label': 'surprise', 'score': 0.004066605120897293}"
8,"{'label': 'sadness', 'score': 0.10879576206207275}","{'label': 'joy', 'score': 0.08065253496170044}","{'label': 'love', 'score': 0.01597144454717636}","{'label': 'anger', 'score': 0.5020657181739807}","{'label': 'fear', 'score': 0.2779335379600525}","{'label': 'surprise', 'score': 0.014580975286662579}"
9,"{'label': 'sadness', 'score': 0.01268309261649847}","{'label': 'joy', 'score': 0.11383600533008575}","{'label': 'love', 'score': 0.0134970024228096}","{'label': 'anger', 'score': 0.8293048143386841}","{'label': 'fear', 'score': 0.026986854150891304}","{'label': 'surprise', 'score': 0.003692240221425891}"
